Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, PopuTrem, eco2, 520, 0, 1, 0.38, 0, 171.07, 30.92, 282.12, 
5, PopuTrem, eco3, 215, 0.05, 1, 0.5, 0.03, 139.15, 44.96, 280.9, 
5, PopuTrem, eco4, 232, 0.59, 1, 0.47, 0.25, 134.24, 57.91, 278.03, 
5, PopuTrem, eco5, 214, 0.96, 1, 0.43, 0.26, 109.57, 107.07, 272.78, 
5, PopuTrem, eco6, 699, 0.9, 1, 0.32, 0.19, 100.82, 124.93, 263.07, 
5, PopuTrem, eco7, 466, 0.74, 1, 0.35, 0.21, 89.37, 131.31, 261.45, 
5, PopuTrem, eco8, 42, 0.65, 1, 0.57, 0.34, 68.69, 130.57, 258.02, 
5, PopuTrem, eco9, 1, 0.59, 1, 0.67, 0.35, 59, 131, 260, 
5, PopuTrem, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, TsugMert, eco1, 649, 0, 1, 0.59, 0, 139.5, 16.82, 285.4, 
5, TsugMert, eco2, 7303, 0, 1, 0.38, 0, 174.34, 30.35, 282.62, 
5, TsugMert, eco3, 7152, 0, 1, 0.35, 0, 165.55, 45.13, 279.07, 
5, TsugMert, eco4, 7007, 0, 1, 0.35, 0, 151.84, 55.51, 274.46, 
5, TsugMert, eco5, 6182, 0, 1, 0.41, 0, 108.86, 107.96, 268.21, 
5, TsugMert, eco6, 12163, 0, 1, 0.31, 0, 101.99, 122.05, 260.03, 
5, TsugMert, eco7, 7074, 0.36, 1, 0.54, 0.21, 76.85, 126.26, 260.12, 
5, TsugMert, eco8, 1151, 0.73, 1, 0.62, 0.37, 66.97, 128.22, 260.04, 
5, TsugMert, eco9, 44, 0.94, 1, 0.64, 0.38, 63.16, 131, 260, 
5, TsugMert, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AcerMacr, eco1, 103, 0, 1, 0.13, 0, 141.63, 16.01, 289.08, 
5, AcerMacr, eco2, 496, 0.01, 1, 0.05, 0, 174.25, 30.02, 283.13, 
5, AcerMacr, eco3, 209, 0.47, 1, 0.09, 0.05, 148.95, 44.07, 280.34, 
5, AcerMacr, eco4, 233, 0.8, 1, 0.09, 0.05, 134.25, 56.62, 276.92, 
5, AcerMacr, eco5, 244, 0.99, 1, 0, 0, 106.06, 108.01, 268.38, 
5, AcerMacr, eco6, 522, 0.86, 0.96, 0, 0, 104.19, 124.53, 262.73, 
5, AcerMacr, eco7, 242, 0.72, 0.94, 0, 0, 82.38, 129.9, 260.93, 
5, AcerMacr, eco8, 42, 0.66, 1, 0.11, 0.06, 66.57, 128.48, 260, 
5, AcerMacr, eco9, 2, 0.56, 1, 0.11, 0.06, 64.5, 131, 260, 
5, AcerMacr, eco10, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, AescCali, eco1, 109, 0.26, 1, 0.32, 0.12, 143.21, 16.22, 288.12, 
5, AescCali, eco2, 475, 0.48, 1, 0.13, 0.07, 173.41, 30.11, 283.09, 
5, AescCali, eco3, 212, 0.81, 1, 0.15, 0.09, 147.32, 43.31, 281.18, 
5, AescCali, eco4, 253, 0.98, 1, 0.19, 0.12, 133.12, 55.44, 276.19, 
5, AescCali, eco5, 224, 0.93, 1, 0.01, 0, 106.72, 107.93, 268.67, 
5, AescCali, eco6, 513, 0.47, 0.96, 0.01, 0.01, 103.4, 124.61, 262.69, 
5, AescCali, eco7, 230, 0.21, 0.75, 0.17, 0.07, 83.15, 130.52, 260.86, 
