Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2021, eco4, 3, 111.53, 12.76, 24, 321, 0, 
2022, eco4, 3, 115.58, 12.76, 29, 299, 0, 
2023, eco4, 3, 154.54, 13.9, 0, 365, 0, 
2024, eco4, 3, 124.41, 11.99, 53, 291, 0, 
2025, eco4, 3, 141.05, 11.45, 79, 299, 0, 
2026, eco4, 3, 211.8, 12.31, 0, 275, 0, 
2027, eco4, 3, 298.42, 10.71, 106, 297, 0, 
2028, eco4, 3, 124.3, 12.53, 47, 303, 0, 
2029, eco4, 3, 241.39, 10.21, 90, 291, 0, 
2030, eco4, 3, 175.41, 11.35, 54, 299, 0, 
2031, eco4, 3, 106.16, 1.76, 144, 243, 0, 
2032, eco4, 3, 154.54, 13.9, 0, 365, 0, 
2033, eco4, 3, 109.79, 15.37, 0, 347, 0, 
2034, eco4, 3, 121.88, 11.87, 55, 274, 0, 
2035, eco4, 3, 216.82, 11.6, 0, 301, 0, 
2036, eco4, 3, 144.1, 12.78, 54, 310, 0, 
2037, eco4, 3, 109.79, 15.37, 0, 347, 0, 
2038, eco4, 3, 219.78, 12.23, 0, 365, 0, 
2039, eco4, 3, 154.54, 13.9, 0, 365, 0, 
2040, eco4, 3, 96.07, 11.93, 65, 302, 0, 
2041, eco4, 3, 144.1, 12.78, 54, 310, 0, 
2042, eco4, 3, 141.4, 12.63, 29, 290, 0, 
2043, eco4, 3, 211.8, 12.31, 0, 275, 0, 
2044, eco4, 3, 141.4, 12.63, 29, 290, 0, 
2045, eco4, 3, 276.02, 12.48, 0, 365, 0, 
2046, eco4, 3, 109.79, 15.37, 0, 347, 0, 
2047, eco4, 3, 206.64, 12.74, 76, 321, 0, 
2048, eco4, 3, 106.16, 1.76, 144, 243, 0, 
2049, eco4, 3, 134.29, 12.27, 92, 309, 0, 
2050, eco4, 3, 246.2, 12.13, 0, 334, 0, 
2051, eco4, 3, 276.02, 12.48, 0, 365, 0, 
2052, eco4, 3, 134.29, 12.27, 92, 309, 0, 
2053, eco4, 3, 115.58, 12.76, 29, 299, 0, 
2054, eco4, 3, 118.9, 12.31, 52, 299, 0, 
2055, eco4, 3, 206.64, 12.74, 76, 321, 0, 
2056, eco4, 3, 241.39, 10.21, 90, 291, 0, 
2057, eco4, 3, 209.74, 12.91, 0, 324, 0, 
2058, eco4, 3, 115.58, 12.76, 29, 299, 0, 
2059, eco4, 3, 175.41, 11.35, 54, 299, 0, 
2060, eco4, 3, 241.39, 10.21, 90, 291, 0, 
1980, eco5, 4, 210.52, 11.05, 31, 315, 0, 
1981, eco5, 4, 247.76, 10.19, 109, 321, 0, 
1982, eco5, 4, 124.25, 10.71, 58, 286, 0, 
1983, eco5, 4, 124.91, 10.08, 69, 282, 0, 
1984, eco5, 4, 99.82, 11.93, 26, 291, 0, 
1985, eco5, 4, 167.82, 9.8, 99, 297, 0, 
1986, eco5, 4, 124.25, 10.71, 58, 286, 0, 
1987, eco5, 4, 150.95, 12.05, 0, 316, 0, 
1988, eco5, 4, 245.77, 8.32, 111, 291, 0, 
1989, eco5, 4, 124.25, 10.71, 58, 286, 0, 
1990, eco5, 4, 111.2, 14.36, 0, 343, 0, 
1991, eco5, 4, 121.21, 10.97, 86, 321, 0, 
1992, eco5, 4, 145.77, 10.62, 92, 321, 0, 
1993, eco5, 4, 213.88, 9.85, 106, 292, 0, 
1994, eco5, 4, 144.2, 10.94, 107, 299, 0, 
1995, eco5, 4, 99.82, 11.93, 26, 291, 0, 
1996, eco5, 4, 53.24, 11.17, 67, 288, 0, 
1997, eco5, 4, 111.2, 14.36, 0, 343, 0, 
1998, eco5, 4, 53.24, 11.17, 67, 288, 0, 
1999, eco5, 4, 53.24, 11.17, 67, 288, 0, 
2000, eco5, 4, 136.09, 10.33, 113, 298, 0, 
2001, eco5, 4, 121.21, 10.97, 86, 321, 0, 
2002, eco5, 4, 115.74, 10.87, 81, 291, 0, 
2003, eco5, 4, 124.25, 10.71, 58, 286, 0, 
2004, eco5, 4, 173.4, 9.37, 66, 291, 0, 
2005, eco5, 4, 145.22, 10.28, 68, 278, 0, 
2006, eco5, 4, 150.95, 12.05, 0, 316, 0, 
2007, eco5, 4, 146.68, 10.07, 108, 304, 0, 
2008, eco5, 4, 247.76, 10.19, 109, 321, 0, 
2009, eco5, 4, 144.73, 10.11, 74, 311, 0, 
2010, eco5, 4, 97.14, 10.02, 78, 292, 0, 
2011, eco5, 4, 145.77, 10.62, 92, 321, 0, 
2012, eco5, 4, 150.95, 12.05, 0, 316, 0, 
2013, eco5, 4, 144.2, 10.94, 107, 299, 0, 
2014, eco5, 4, 202.14, 10.89, 91, 309, 0, 
2015, eco5, 4, 147.69, 10.84, 86, 283, 0, 
2016, eco5, 4, 184.26, 10.58, 51, 254, 0, 
2017, eco5, 4, 145.22, 10.28, 68, 278, 0, 
2018, eco5, 4, 144.2, 10.94, 107, 299, 0, 
2019, eco5, 4, 124.25, 10.71, 58, 286, 0, 
2020, eco5, 4, 119.11, 10.36, 83, 292, 0, 
2021, eco5, 4, 111.51, 11.09, 48, 321, 0, 
2022, eco5, 4, 115.74, 10.87, 81, 291, 0, 
2023, eco5, 4, 150.95, 12.05, 0, 316, 0, 
2024, eco5, 4, 124.91, 10.08, 69, 282, 0, 
2025, eco5, 4, 141.55, 9.57, 108, 291, 0, 
2026, eco5, 4, 214.04, 10.46, 89, 268, 0, 
2027, eco5, 4, 300.95, 8.77, 116, 291, 0, 
2028, eco5, 4, 124.25, 10.71, 58, 286, 0, 
2029, eco5, 4, 245.77, 8.32, 111, 291, 0, 
2030, eco5, 4, 173.4, 9.37, 66, 291, 0, 
2031, eco5, 4, 88.85, 2.99, 138, 247, 0, 
2032, eco5, 4, 150.95, 12.05, 0, 316, 0, 
2033, eco5, 4, 111.2, 14.36, 0, 343, 0, 
2034, eco5, 4, 126.8, 9.83, 108, 268, 0, 
2035, eco5, 4, 213.88, 9.85, 106, 292, 0, 
2036, eco5, 4, 144.2, 10.94, 107, 299, 0, 
2037, eco5, 4, 111.2, 14.36, 0, 343, 0, 
2038, eco5, 4, 219.76, 10.47, 51, 332, 0, 
2039, eco5, 4, 150.95, 12.05, 0, 316, 0, 
2040, eco5, 4, 97.14, 10.02, 78, 292, 0, 
2041, eco5, 4, 144.2, 10.94, 107, 299, 0, 
2042, eco5, 4, 147.69, 10.84, 86, 283, 0, 
2043, eco5, 4, 214.04, 10.46, 89, 268, 0, 
2044, eco5, 4, 147.69, 10.84, 86, 283, 0, 
2045, eco5, 4, 281.46, 10.54, 86, 285, 0, 
2046, eco5, 4, 111.2, 14.36, 0, 343, 0, 
2047, eco5, 4, 202.14, 10.89, 91, 309, 0, 
2048, eco5, 4, 88.85, 2.99, 138, 247, 0, 
2049, eco5, 4, 136.09, 10.33, 113, 298, 0, 
2050, eco5, 4, 247.76, 10.19, 109, 321, 0, 
2051, eco5, 4, 281.46, 10.54, 86, 285, 0, 
2052, eco5, 4, 136.09, 10.33, 113, 298, 0, 
2053, eco5, 4, 115.74, 10.87, 81, 291, 0, 
2054, eco5, 4, 119.11, 10.36, 83, 292, 0, 
2055, eco5, 4, 202.14, 10.89, 91, 309, 0, 
2056, eco5, 4, 245.77, 8.32, 111, 291, 0, 
2057, eco5, 4, 210.52, 11.05, 31, 315, 0, 
2058, eco5, 4, 115.74, 10.87, 81, 291, 0, 
2059, eco5, 4, 173.4, 9.37, 66, 291, 0, 
2060, eco5, 4, 245.77, 8.32, 111, 291, 0, 
1980, eco6, 5, 156.3, 8.3, 95, 278, 0, 
1981, eco6, 5, 183.46, 7.41, 130, 278, 0, 
1982, eco6, 5, 97.88, 7.8, 107, 263, 0, 
1983, eco6, 5, 93.74, 7.25, 117, 260, 0, 
1984, eco6, 5, 84.72, 8.94, 110, 291, 0, 
1985, eco6, 5, 133.42, 6.89, 136, 269, 0, 
1986, eco6, 5, 97.88, 7.8, 107, 263, 0, 
1987, eco6, 5, 110.97, 9.16, 105, 288, 0, 
1988, eco6, 5, 196.17, 5.68, 130, 254, 0, 
1989, eco6, 5, 97.88, 7.8, 107, 263, 0, 
1990, eco6, 5, 123.26, 12.43, 79, 328, 0, 
1991, eco6, 5, 95.74, 7.91, 117, 276, 0, 
1992, eco6, 5, 109.7, 7.73, 120, 265, 0, 
1993, eco6, 5, 162.86, 7.13, 138, 291, 0, 
1994, eco6, 5, 106.61, 8.12, 117, 289, 0, 
1995, eco6, 5, 84.72, 8.94, 110, 291, 0, 
1996, eco6, 5, 41.29, 8.15, 108, 261, 0, 
1997, eco6, 5, 123.26, 12.43, 79, 328, 0, 
1998, eco6, 5, 41.29, 8.15, 108, 261, 0, 
1999, eco6, 5, 41.29, 8.15, 108, 261, 0, 
2000, eco6, 5, 103.49, 7.38, 142, 278, 0, 
2001, eco6, 5, 95.74, 7.91, 117, 276, 0, 
2002, eco6, 5, 85.22, 7.89, 129, 291, 0, 
2003, eco6, 5, 97.88, 7.8, 107, 263, 0, 
2004, eco6, 5, 126.23, 6.5, 121, 279, 0, 
2005, eco6, 5, 110.29, 7.44, 114, 260, 0, 
2006, eco6, 5, 110.97, 9.16, 105, 288, 0, 
2007, eco6, 5, 116.19, 7.25, 130, 281, 0, 
2008, eco6, 5, 183.46, 7.41, 130, 278, 0, 
2009, eco6, 5, 114.15, 7.12, 108, 263, 0, 
2010, eco6, 5, 75.4, 7.11, 103, 272, 0, 
2011, eco6, 5, 109.7, 7.73, 120, 265, 0, 
2012, eco6, 5, 110.97, 9.16, 105, 288, 0, 
2013, eco6, 5, 106.61, 8.12, 117, 289, 0, 
2014, eco6, 5, 147.18, 8.11, 116, 273, 0, 
2015, eco6, 5, 112.53, 7.92, 111, 268, 0, 
2016, eco6, 5, 139.58, 7.71, 123, 240, 0, 
2017, eco6, 5, 110.29, 7.44, 114, 260, 0, 
2018, eco6, 5, 106.61, 8.12, 117, 289, 0, 
2019, eco6, 5, 97.88, 7.8, 107, 263, 0, 
2020, eco6, 5, 87.95, 7.39, 105, 291, 0, 
