SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
4, 250, 4, 4, 26.5925474954609, Rx, 
4, 255, 4, 4, 24.720639675588, Rx, 
4, 256, 4, 4, 24.1669120317928, Rx, 
4, 266, 1, 1, 40.1992295604794, Accidental, 
4, 284, 4, 4, 25.8125761448463, Rx, 
4, 294, 4, 4, 24.3778205103404, Rx, 
4, 295, 4, 4, 17.0428103956715, Rx, 
4, 296, 4, 4, 16.4190668228753, Rx, 
4, 297, 4, 4, 16.8770701783801, Rx, 
4, 298, 4, 4, 19.5834445258279, Rx, 
4, 300, 4, 4, 18.3584218322032, Rx, 
4, 301, 4, 4, 14.1428002385013, Rx, 
4, 302, 4, 4, 14.5201035366438, Rx, 
4, 303, 4, 4, 15.507231000654, Rx, 
4, 304, 4, 4, 14.7500200669389, Rx, 
4, 306, 4, 4, 13.282508063161, Rx, 
4, 307, 4, 4, 15.2649316777905, Rx, 
4, 309, 4, 4, 15.0007985717275, Rx, 
4, 311, 4, 4, 14.543962723725, Rx, 
4, 313, 4, 4, 16.9030178954572, Rx, 
5, 30, 4, 4, 8.00608562101935, Rx, 
5, 31, 4, 4, 8.70051088185034, Rx, 
5, 35, 4, 4, 10.7687829197416, Rx, 
5, 39, 4, 4, 11.8914509662845, Rx, 
5, 51, 4, 4, 6.28031218474369, Rx, 
5, 88, 4, 4, 7.01322778748641, Rx, 
5, 93, 4, 4, 9.30042486040884, Rx, 
5, 109, 4, 4, 6.84785175621201, Rx, 
5, 110, 4, 4, 7.88454545101649, Rx, 
5, 114, 4, 4, 13.9812785566881, Rx, 
5, 115, 4, 4, 12.9687747499443, Rx, 
5, 119, 4, 4, 6.63843733977, Rx, 
5, 120, 4, 4, 9.43902584007206, Rx, 
5, 121, 4, 4, 10.2045406846087, Rx, 
5, 122, 4, 4, 11.2062860586116, Rx, 
5, 123, 4, 4, 13.0423666811184, Rx, 
5, 124, 4, 4, 13.7342076249234, Rx, 
5, 126, 4, 4, 15.734350003818, Rx, 
5, 131, 4, 4, 16.3960880886458, Rx, 
5, 132, 4, 4, 16.2646931175376, Rx, 
5, 133, 4, 4, 14.9283407187253, Rx, 
5, 134, 4, 4, 13.6018439131164, Rx, 
5, 135, 4, 4, 10.6905013414162, Rx, 
5, 136, 4, 4, 10.2562519973009, Rx, 
5, 137, 4, 4, 12.0880096390869, Rx, 
5, 138, 4, 4, 13.3388302536043, Rx, 
5, 139, 4, 4, 13.7485289651666, Rx, 
5, 140, 4, 4, 12.063141709551, Rx, 
5, 141, 4, 4, 13.609999812093, Rx, 
5, 142, 4, 4, 14.5838754328381, Rx, 
5, 143, 4, 4, 14.3360760311462, Rx, 
5, 144, 4, 4, 9.54118106317299, Rx, 
5, 145, 4, 4, 8.16226639814668, Rx, 
5, 146, 4, 4, 12.9528580077446, Rx, 
5, 147, 4, 4, 19.034322389872, Rx, 
5, 151, 4, 4, 18.6508810999079, Rx, 
5, 160, 4, 4, 20.195611130456, Rx, 
5, 161, 4, 4, 22.9579878565034, Rx, 
5, 167, 4, 4, 17.1293250695741, Rx, 
5, 168, 4, 4, 17.9270382614919, Rx, 
5, 169, 4, 4, 22.7308328651343, Rx, 
5, 179, 4, 4, 33.4038443462233, Rx, 
5, 192, 4, 4, 41.0281259182515, Rx, 
5, 193, 4, 4, 32.566538639993, Rx, 
5, 200, 4, 4, 38.9623652444189, Rx, 
