EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
101, 5, 337, 97, 34.9295307070266, 189, 659, Accidental, 1, 1, 60, 60, 8.042161176, 11.2879457428533, 149.9397105, NaN, 34.93, NaN, 0, 0, 0.129999995231628, 0.131880833095974, 151, 1848, 18491, 
102, 5, 290, 312, 32.214299724935, 209, 619, Lightning, 1, 1, 30, 50, 11.1794757336, 11.9714459535669, 187.80065294, NaN, 32.21, NaN, 0, 0, 0.13091903924942, 0.63472018500434, 658, 372, 11785, 
103, 5, 303, 238, 37.5737545101403, 224, 734, Accidental, 1, 1, 18, 93, 10.980398772, 13.9362094807234, 227.59028744, NaN, 37.57, NaN, 0, 0, 0.10056845843792, 0.988464861382378, 293, 265, 9105, 
104, 5, 227, 77, 26.233026705968, 240, 552, Lightning, 1, 1, 36, 36, 7.734813768, 15.4827264060422, 241.68406473, NaN, 26.23, NaN, 0, 0, 0.129999995231628, 0.0269007196214464, 0, 2000, 6842, 
105, 5, 618, 234, 33.8080281970187, 258, 608, Lightning, 1, 1, 37, 37, 9.2057636808, 8.28905539672325, 161.8218609, NaN, 33.81, NaN, 0, 0, 0.129999995231628, 0.292468063015408, 0, 1077, 12073, 
106, 5, 317, 172, 47.030477011344, 267, 842, Accidental, 2, 338, 7402, 19011, 16.6769296417916, 18.383922528477, 147.684845570118, 0, 46.68, 0.520362976857719, 4.03650988990839, 3.81575307657294, 0.14994640704575, 0.777641153745423, 400.810650887574, 329.8, 2420696, 
107, 5, 433, 130, 23.6209787281215, 276, 471, Accidental, 1, 1, 15, 27, 11.1469028292, 12.1764419530728, 244.15439862, NaN, 23.62, NaN, 0, 0, 0.129999995231628, 0.909730936686198, 0, 307, 4034, 
108, 5, 320, 356, 19.8129688264534, 279, 404, Accidental, 1, 1, 38, 38, 8.9682400836, 12.1489171488992, 224.059891, NaN, 19.81, NaN, 0, 0, 0.101769380271435, 0.05936390753852, 1064, 1131, 24009, 
109, 5, 653, 384, 8.55818475573643, 311, 178, Lightning, 1, 1, 12, 15, 10.2731032908, 9.40897804023952, 292.9559135, NaN, 8.56, NaN, 0, 0, 0.129999995231628, 0.525689849175347, 319, 499, 3555, 
110, 5, 334, 328, 8.76173870581169, 319, 167, Lightning, 1, 1, 16, 35, 12.200489586, 8.074650259181, 249.08916216, NaN, 8.76, NaN, 0, 0, 0.129999995231628, 1, 882, 248, 7327, 
111, 5, 284, 555, 6.06661254861688, 339, 178, Lightning, 1, 1, 9, 21, 12.666722976, 13.5533654290539, 353.1885153, NaN, 6.07, NaN, 0, 0, 0.136543333530426, 0.924783010525174, 507, 271, 6105, 
