Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
2057, eco8, 7, 112.61, 10.12, 116, 291, 0, 
2058, eco8, 7, 110.21, 8.45, 117, 291, 0, 
2059, eco8, 7, 213.21, 8.76, 106, 286, 0, 
2060, eco8, 7, 218.42, 7.84, 109, 291, 0, 
2020, eco9, 8, 63.69, 8.01, 136, 257, 0, 
2021, eco9, 8, 174.05, 6.72, 131, 291, 0, 
2022, eco9, 8, 85.97, 5.15, 130, 261, 0, 
2023, eco9, 8, 135.51, 5.96, 130, 266, 0, 
2024, eco9, 8, 167.01, 5.6, 131, 260, 0, 
2025, eco9, 8, 91.32, 7.49, 115, 277, 0, 
2026, eco9, 8, 164.47, 7.28, 131, 291, 0, 
2027, eco9, 8, 72.3, 6.99, 137, 291, 0, 
2028, eco9, 8, 131.6, 7.33, 130, 265, 0, 
2029, eco9, 8, 163.82, 6.7, 123, 273, 0, 
2030, eco9, 8, 89.67, 7.33, 121, 267, 0, 
2031, eco9, 8, 92.44, 7.54, 129, 253, 0, 
2032, eco9, 8, 127, 6.96, 121, 259, 0, 
2033, eco9, 8, 175.13, 6.06, 139, 260, 0, 
2034, eco9, 8, 143.9, 6.46, 125, 264, 0, 
2035, eco9, 8, 98.11, 7.63, 123, 270, 0, 
2036, eco9, 8, 145.89, 8.34, 109, 291, 0, 
2037, eco9, 8, 99.35, 7.44, 129, 257, 0, 
2038, eco9, 8, 123.73, 8.68, 118, 267, 0, 
2039, eco9, 8, 128.58, 7.79, 115, 291, 0, 
2040, eco9, 8, 121.47, 7.99, 118, 287, 0, 
2041, eco9, 8, 111.94, 7.36, 124, 291, 0, 
2042, eco9, 8, 147.35, 7.4, 98, 282, 0, 
2043, eco9, 8, 97.18, 7.92, 121, 300, 0, 
2044, eco9, 8, 103.94, 8.79, 111, 264, 0, 
2045, eco9, 8, 105.22, 8.01, 120, 270, 0, 
2046, eco9, 8, 125.01, 9, 106, 291, 0, 
2047, eco9, 8, 122.32, 7.38, 123, 279, 0, 
2048, eco9, 8, 143.31, 7.02, 109, 262, 0, 
2049, eco9, 8, 78.1, 8.12, 104, 273, 0, 
2050, eco9, 8, 97.64, 9.3, 92, 291, 0, 
2051, eco9, 8, 102.27, 8.29, 124, 276, 0, 
2052, eco9, 8, 126.79, 7.7, 104, 277, 0, 
2053, eco9, 8, 124.25, 9.88, 94, 288, 0, 
2054, eco9, 8, 138.42, 7.69, 127, 280, 0, 
2055, eco9, 8, 89.41, 9.03, 93, 291, 0, 
2056, eco9, 8, 82.43, 7.82, 101, 265, 0, 
2057, eco9, 8, 106.31, 9.26, 121, 291, 0, 
2058, eco9, 8, 103.91, 7.6, 121, 288, 0, 
2059, eco9, 8, 201.34, 7.9, 110, 282, 0, 
2060, eco9, 8, 206.67, 7.04, 115, 286, 0, 
